x (m),y (m),z (m),t (s),id
-4.18987235797252e-06,-8.03480840475797e-06,-3.64130909459313e-09,3.574722975,1
-4.19020327204339e-06,-8.03495163383909e-06,-3.64187529661039e-09,3.574972975,1
-4.19053418611426e-06,-8.03509486292021e-06,-3.64244149862764e-09,3.575222975,1
-4.19086510018512e-06,-8.03523809200134e-06,-3.6430077006449e-09,3.575472975,1
-4.19119601425599e-06,-8.03538132108245e-06,-3.64357390266215e-09,3.575722975,1
-4.19152692832686e-06,-8.03552455016358e-06,-3.64414010467941e-09,3.575972975,1
-4.19185784239772e-06,-8.0356677792447e-06,-3.64470630669666e-09,3.576222975,1
-4.19218875646859e-06,-8.03581100832582e-06,-3.64527250871391e-09,3.576472975,1
-4.19251967053946e-06,-8.03595423740694e-06,-3.64583871073117e-09,3.576722975,1
-4.19285058461032e-06,-8.03609746648806e-06,-3.64640491274842e-09,3.576972975,1
-4.19318149868119e-06,-8.03624069556918e-06,-3.64697111476568e-09,3.577222975,1
-4.19351241275206e-06,-8.0363839246503e-06,-3.64753731678293e-09,3.577472975,1
-4.19384332682292e-06,-8.03652715373143e-06,-3.64810351880019e-09,3.577722975,1
-4.19417424089379e-06,-8.03667038281255e-06,-3.64866972081744e-09,3.577972975,1
-4.19450515496466e-06,-8.03681361189367e-06,-3.6492359228347e-09,3.578222975,1
-4.19483606903552e-06,-8.03695684097479e-06,-3.64980212485195e-09,3.578472975,1
-4.19516698310639e-06,-8.03710007005591e-06,-3.6503683268692e-09,3.578722975,1
-4.19549789717725e-06,-8.03724329913703e-06,-3.65093452888646e-09,3.578972975,1
-4.19582881124812e-06,-8.03738652821815e-06,-3.65150073090371e-09,3.579222975,1
-4.19615972531899e-06,-8.03752975729927e-06,-3.65206693292097e-09,3.579472975,1
-4.19649063938985e-06,-8.03767298638039e-06,-3.65263313493822e-09,3.579722975,1
-4.19682155346072e-06,-8.03781621546151e-06,-3.65319933695548e-09,3.579972975,1
-4.19715246753159e-06,-8.03795944454264e-06,-3.65376553897273e-09,3.580222975,1
-4.19748338160245e-06,-8.03810267362376e-06,-3.65433174098998e-09,3.580472975,1
-4.19781429567332e-06,-8.03824590270488e-06,-3.65489794300724e-09,3.580722975,1
-4.19814520974419e-06,-8.038389131786e-06,-3.65546414502449e-09,3.580972975,1
-4.19847612381505e-06,-8.03853236086712e-06,-3.65603034704175e-09,3.581222975,1
-4.19880703788592e-06,-8.03867558994824e-06,-3.656596549059e-09,3.581472975,1
-4.19913795195679e-06,-8.03881881902936e-06,-3.65716275107626e-09,3.581722975,1
-4.19946886602765e-06,-8.03896204811048e-06,-3.65772895309351e-09,3.581972975,1
-4.19979978009852e-06,-8.0391052771916e-06,-3.65829515511077e-09,3.582222975,1
-4.20013069416939e-06,-8.03924850627273e-06,-3.65886135712802e-09,3.582472975,1
-4.20046160824025e-06,-8.03939173535385e-06,-3.65942755914527e-09,3.582722975,1
-4.20079252231112e-06,-8.03953496443497e-06,-3.65999376116253e-09,3.582972975,1
-4.20112343638199e-06,-8.03967819351609e-06,-3.66055996317978e-09,3.583222975,1
-4.20145435045285e-06,-8.03982142259721e-06,-3.66112616519704e-09,3.583472975,1
-4.20178526452372e-06,-8.03996465167833e-06,-3.66169236721429e-09,3.583722975,1
-4.20202570075242e-06,-8.03926065667233e-06,-7.39650148226904e-09,3.583972975,1
-4.20201324540332e-06,-8.03618861407561e-06,-2.1568767543957e-08,3.584222975,1
-4.20200079005421e-06,-8.03311657147887e-06,-3.57410336056449e-08,3.584472975,1
-4.2020369609538e-06,-8.03052841803251e-06,-4.48258786575221e-08,3.584722975,1
-4.20216371616496e-06,-8.02884168648751e-06,-4.44335268840117e-08,3.584972975,1
-4.20229047137611e-06,-8.02715495494252e-06,-4.40411751105012e-08,3.585222975,1
-4.20241722658727e-06,-8.02546822339752e-06,-4.36488233369901e-08,3.585472975,1
-4.20254398179842e-06,-8.02378149185252e-06,-4.32564715634796e-08,3.585722975,1
-4.20267073700957e-06,-8.02209476030752e-06,-4.28641197899692e-08,3.585972975,1
-4.20279749222073e-06,-8.02040802876252e-06,-4.2471768016458e-08,3.586222975,1
-4.20292424743188e-06,-8.01872129721753e-06,-4.20794162429476e-08,3.586472975,1
-4.20305100264304e-06,-8.01703456567253e-06,-4.16870644694371e-08,3.586722975,1
-4.20186372251478e-06,-8.01736480249912e-06,-4.02554350768039e-08,3.586972975,1
-4.20035549534518e-06,-8.01818767450221e-06,-3.85699669425541e-08,3.587222975,1
-4.19884726817558e-06,-8.0190105465053e-06,-3.68844988083073e-08,3.587472975,1
-4.19733904100598e-06,-8.01983341850838e-06,-3.51990306740605e-08,3.587722975,1
-4.19583081383638e-06,-8.02065629051147e-06,-3.35135625398107e-08,3.587972975,1
-4.19442423737374e-06,-8.02150781403233e-06,-3.19506101850975e-08,3.588222975,1
-4.19432002549375e-06,-8.02272642523115e-06,-3.19573489505141e-08,3.588472975,1
-4.19421581361375e-06,-8.02394503642997e-06,-3.19640877159308e-08,3.588722975,1
-4.19411160173375e-06,-8.02516364762879e-06,-3.19708264813475e-08,3.588972975,1
-4.19400738985376e-06,-8.02638225882762e-06,-3.19775652467642e-08,3.589222975,1
-4.19394744044031e-06,-8.02739723162119e-06,-3.21421129783492e-08,3.589472975,1
-4.19400170498907e-06,-8.0278867400443e-06,-3.27138677343415e-08,3.589722975,1
-4.19405596953783e-06,-8.02837624846742e-06,-3.32856224903338e-08,3.589972975,1
-4.19411023408659e-06,-8.02886575689054e-06,-3.38573772463261e-08,3.590222975,1
-4.19416449863535e-06,-8.02935526531365e-06,-3.44291320023194e-08,3.590472975,1
-4.19421876318411e-06,-8.02984477373677e-06,-3.50008867583118e-08,3.590722975,1
-4.19427302773287e-06,-8.03033428215989e-06,-3.55726415143041e-08,3.590972975,1
-4.19432729228163e-06,-8.030823790583e-06,-3.61443962702974e-08,3.591222975,1
-4.19438155683039e-06,-8.03131329900612e-06,-3.67161510262897e-08,3.591472975,1
-4.19443582137914e-06,-8.03180280742924e-06,-3.7287905782282e-08,3.591722975,1
-4.1944900859279e-06,-8.03229231585236e-06,-3.78596605382753e-08,3.591972975,1
-4.19454435047666e-06,-8.03278182427547e-06,-3.84314152942677e-08,3.592222975,1
-4.19459861502542e-06,-8.03327133269859e-06,-3.900317005026e-08,3.592472975,1
-4.19465287957418e-06,-8.03376084112171e-06,-3.95749248062533e-08,3.592722975,1
-4.19470714412294e-06,-8.03425034954482e-06,-4.01466795622456e-08,3.592972975,1
-4.1947614086717e-06,-8.03473985796794e-06,-4.07184343182379e-08,3.593222975,1
-4.19481567322046e-06,-8.03522936639106e-06,-4.12901890742313e-08,3.593472975,1
-4.19486993776922e-06,-8.03571887481418e-06,-4.18619438302236e-08,3.593722975,1
-4.19492420231798e-06,-8.03620838323729e-06,-4.24336985862159e-08,3.593972975,1
-4.19497846686674e-06,-8.03669789166041e-06,-4.30054533422092e-08,3.594222975,1
-4.1950327314155e-06,-8.03718740008353e-06,-4.35772080982015e-08,3.594472975,1
-4.19508699596426e-06,-8.03767690850664e-06,-4.41489628541938e-08,3.594722975,1
